Рафаэлло Джованьоли: Спартак
Бернар Вербер
Штерн: Ианатонавты
Толстой: Война и мир 
Юлия Набокова: Побег из сказки
Сомерсет Моэм : Луна и грош
Уильям Фолкнер: Рассказы. Медведь. Осквернитель праха 
